id,country,city,gender,ethnicity,animal_type,animals,humans,is_required,last_updated_date
1,China,Nuoxizhi,Male,Tongan,elephant,1733,9988566,0,1/19/2016
2,China,Tanbuqiao,Female,White,dog,403,4367849,0,3/29/2016
3,United States,El Paso,Male,Cuban,dog,6193,2939235,0,3/20/2016
4,China,Zhongxin,Male,Spaniard,rabbit,9041,4852207,0,6/10/2016
5,China,Bijia,Female,Colombian,cat,7505,6728496,0,1/17/2016
6,China,Jinshan,Female,Alaskan Athabascan,elephant,1774,5381361,1,9/18/2016
7,China,Hebei,Male,Asian,horse,8611,3510793,1,11/3/2015
8,Brazil,Itabaiana,Male,Guatemalan,cat,671,3277925,1,11/27/2015
9,China,Jinzhou,Male,Potawatomi,rabbit,5789,4656807,1,1/5/2016
10,China,Jianxin,Female,Creek,elephant,7515,5742349,0,8/3/2016
11,China,Zhuping,Female,Chickasaw,cat,5305,4223290,0,5/13/2016
12,United States,Dulles,Female,Yakama,horse,8533,5240632,1,2/22/2016
13,China,Hongqi Yingzi,Female,Sioux,elephant,3330,2050122,0,1/17/2016
14,China,Micheng,Male,White,horse,1988,9201742,1,4/28/2016
15,China,Yanglong,Female,Sioux,dog,8112,341039,1,5/7/2016
16,China,Zhangdiyingzi,Male,Kiowa,cat,8525,8664880,1,11/8/2015
17,China,Jiangyi,Female,Tohono O Odham,rabbit,880,6418102,1,6/12/2016
18,China,Dahua,Male,Pima,cat,7452,4087196,0,4/17/2016
19,China,Qijiazuo,Male,Chilean,cat,8094,3778936,1,8/22/2016
20,China,Lin an,Female,Crow,cat,3183,6708738,0,7/18/2016
21,Brazil,Aparecida,Male,Pakistani,elephant,2461,6231689,0,9/15/2016
22,United States,Miami,Female,Korean,dog,3236,9647554,0,7/16/2016
23,Canada,Conception Bay South,Female,Lumbee,cat,9107,6961528,0,12/23/2015
24,United States,Scottsdale,Female,Sri Lankan,horse,254,96645,0,3/26/2016
25,China,Xinglongchang,Female,Guamanian,cat,8758,3919716,0,7/18/2016
26,China,Xianghu,Male,Lumbee,rabbit,6114,9245818,1,4/30/2016
27,United States,Albany,Male,Ecuadorian,dog,6584,7001454,0,1/20/2016
28,United States,Philadelphia,Male,Argentinian,rabbit,7183,8845989,0,11/21/2015
29,China,Shuishiying,Female,Korean,horse,2358,778045,0,5/16/2016
30,Brazil,Palmas,Male,Salvadoran,elephant,9695,1970100,0,1/25/2016
31,China,Xianghua,Male,Yuman,horse,9567,7480303,0,1/26/2016
32,Brazil,Machado,Male,Hmong,rabbit,3408,5034290,0,10/10/2016
33,China,Minle,Male,Osage,elephant,856,3515995,1,10/18/2016
34,China,Huxiaoqiao,Male,Argentinian,elephant,5972,145952,0,10/16/2016
35,China,Ximei,Female,Osage,elephant,5417,6079688,1,4/19/2016
36,China,Tewulike,Male,Chilean,cat,836,360759,0,1/9/2016
37,Brazil,Itaja ,Female,Osage,horse,2630,6703609,1,2/13/2016
38,China,Youguzhuang,Female,Sri Lankan,horse,8064,9167873,0,11/23/2015
39,China,Hedong,Male,Thai,elephant,3227,3970452,0,6/28/2016
40,China,Heshui,Male,Alaska Native,cat,2461,6601853,1,4/16/2016
41,China,Jinping,Male,Indonesian,cat,8972,14243,0,9/30/2016
42,China,Xiakouyi,Male,Puget Sound Salish,dog,3615,5634024,0,2/5/2016
43,China,Yafan,Female,Creek,elephant,4365,2845972,0,9/19/2016
44,China,Zhenhai,Female,Samoan,horse,7934,4182915,0,6/20/2016
45,United States,Shawnee Mission,Male,Costa Rican,dog,4462,6134303,1,9/17/2016
46,China,Mijiang,Female,Delaware,rabbit,892,9467946,0,12/5/2015
47,China,Lingcheng,Male,Korean,dog,8756,354302,0,7/31/2016
48,China,Xianghuaqiao,Male,Korean,elephant,9000,3379978,0,3/5/2016
49,China,Maogou,Female,Iroquois,rabbit,7097,9868497,0,4/30/2016
50,United States,Roanoke,Female,Pima,dog,2386,8991344,1,6/25/2016
51,China,Pipa,Male,Chickasaw,cat,4488,2244121,0,3/6/2016
52,Brazil,Port o,Male,Chilean,rabbit,4144,733012,1,9/20/2016
53,China,Guhua,Male,Aleut,elephant,9579,3136540,0,8/15/2016
54,United States,Decatur,Male,Mexican,cat,8488,8353870,0,4/3/2016
55,Canada,Meadow Lake,Male,Argentinian,dog,3876,8914024,1,11/18/2015
56,China,Huangliang,Female,Tlingit-Haida,rabbit,8403,5538874,0,12/17/2015
57,China,Heshang,Male,Colville,rabbit,2948,9205173,1,3/23/2016
58,China,Dongshan,Female,Cuban,horse,4007,8685008,1,12/1/2015
59,China,Dongxiaokou,Female,Ecuadorian,horse,7678,9245338,1,7/4/2016
60,China,Changqing,Female,Pueblo,elephant,6561,1002318,1,12/12/2015
61,China,Zhangpu,Male,Costa Rican,elephant,2435,6006392,1,11/19/2015
